job_id;job_title;min_salary;max_salary
7283a89c-f6e5-41d5-8712-ad1da8f86c0f;Corporate Mobility Strategist;30573;25283
1209b225-1594-407e-b8f3-e2f53d319cbf;Legacy Brand Strategist;27800;2642
0711760f-0fe4-4200-82f2-e6b9e679f74f;Internal Intranet Developer;26961;27111
37ad406f-2477-4dee-bf72-5e0eca5f8870;Senior Paradigm Planner;9575;31412
fb67b7da-dbf0-4d3a-8f5b-5a30ce301f29;Global Metrics Specialist;6224;15493
a90e2996-79f0-4939-bd14-26777f8c3fd4;Global Applications Associate;3608;12367
4ab20d15-d198-4d66-bfd3-7a3f5389628f;Legacy Data Liaison;11177;26960
0abd3258-69cd-44b2-92b7-369fa7b89d7d;National Paradigm Liaison;12393;4665
4b397fa1-0885-4d69-ba11-08db2cc00d7c;Senior Assurance Manager;17840;10046
657781fa-53a9-4716-8d3c-4d131b471fab;District Tactics Liaison;19125;30394
