country_id;country_name
5af88048-bc0a-4266-be55-b3b7df57e94e;roadway grizzled dad
3b77c544-dfcd-433a-bba7-7d2eea8c63a8;home yum impartial
a94e4844-0161-4308-9b6b-01988210156b;inasmuch
51cdeb88-27c5-469e-9c4c-fb0d03815cb9;enthusiastically coalesce bah
4846f073-2b06-45f5-8a9b-fe15e76d1516;call
265b802b-fe99-4872-9892-200a1d9c2675;meh meh
14f786b0-3955-4537-8d31-75b75a39d1e7;less foolishly
773ec57b-731d-475d-98d9-0e44cbc91254;nautical
706dc90e-73e7-41b6-b9c0-78a8e55e9e88;woot
2d507750-d4b4-4bd3-9dd3-5635f778c35e;speedboat
